SKU,Name,Type,Variation_Name,Category,Target_Price,Image
BBC10,Figaro Chain,VARIABLE,,Chain Necklaces,,https://i.etsystatic.com/21625319/r/il/2650a7/3518288521/il_340x270.3518288521_olw7.jpg
BBC11,Snake Ball Chain (Faceted),VARIABLE,,Chain Necklaces,,https://i.etsystatic.com/21625319/r/il/0955e6/3470680170/il_340x270.3470680170_8xbi.jpg
BBC1,Snake Chain (Fine),VARIABLE,,Chain Necklaces,,https://i.etsystatic.com/21625319/r/il/0955e6/3470680170/il_340x270.3470680170_8xbi.jpg
BBC2,Snake Chain (Thick),VARIABLE,,Chain Necklaces,,https://i.etsystatic.com/21625319/r/il/82dc94/3525688517/il_340x270.3525688517_ato9.jpg
BBC3,Box Chain (Fine),VARIABLE,,Chain Necklaces,,https://i.etsystatic.com/21625319/r/il/798a1f/3862894823/il_340x270.3862894823_3bxz.jpg
BBC4,Box Chain (Thick),VARIABLE,,Chain Necklaces,,https://i.etsystatic.com/21625319/r/il/798a1f/3862894823/il_340x270.3862894823_3bxz.jpg
BBC5,Rope Chain,VARIABLE,,Chain Necklaces,,https://i.etsystatic.com/21625319/c/1111/883/0/113/il/15d837/3515430949/il_340x270.3515430949_8q36.jpg
BBC6,Twisted Box Chain,VARIABLE,,Chain Necklaces,,https://i.etsystatic.com/21625319/r/il/1db13c/3667813491/il_340x270.3667813491_mo9j.jpg
BBC7,Ball Chain (Fine),VARIABLE,,Chain Necklaces,,https://i.etsystatic.com/21625319/r/il/107958/3517124225/il_340x270.3517124225_9408.jpg
BBC8,Snake Ball Chain (Rounded),VARIABLE,,Chain Necklaces,,https://i.etsystatic.com/21625319/r/il/0955e6/3470680170/il_340x270.3470680170_8xbi.jpg
BBC9,Curb Chain,VARIABLE,,Chain Necklaces,,
BBC12,10K Box Chain (Fine),VARIABLE,,Chain Necklaces,,
BBC10-18,Figaro Chain,VARIATION,18 inch,Chain Necklaces,48,https://i.etsystatic.com/21625319/r/il/2650a7/3518288521/il_340x270.3518288521_olw7.jpg
BBC10-20,Figaro Chain,VARIATION,20 inch,Chain Necklaces,52,https://i.etsystatic.com/21625319/r/il/2650a7/3518288521/il_340x270.3518288521_olw7.jpg
BBC10-22,Figaro Chain,VARIATION,22 inch,Chain Necklaces,56,https://i.etsystatic.com/21625319/r/il/2650a7/3518288521/il_340x270.3518288521_olw7.jpg
BBC10-24,Figaro Chain,VARIATION,24 inch,Chain Necklaces,60,https://i.etsystatic.com/21625319/r/il/2650a7/3518288521/il_340x270.3518288521_olw7.jpg
BBC11-16,Snake Ball Chain (Faceted),VARIATION,16 inch,Chain Necklaces,28,https://i.etsystatic.com/21625319/r/il/0955e6/3470680170/il_340x270.3470680170_8xbi.jpg
BBC11-18,Snake Ball Chain (Faceted),VARIATION,18 inch,Chain Necklaces,32,https://i.etsystatic.com/21625319/r/il/0955e6/3470680170/il_340x270.3470680170_8xbi.jpg
BBC1-14,Snake Chain (Fine),VARIATION,14 inch,Chain Necklaces,14,https://i.etsystatic.com/21625319/r/il/0955e6/3470680170/il_340x270.3470680170_8xbi.jpg
