Sale_Transaction_ID,Status,Date_Time,Location_Latitude,Location_Longitude,City,Province_State,Country,Customer_ID,Sales_Person_ID,Source_Type
cl6zdlfu50004g4ofkqfoyz74,COMPLETE,2019-04-27 4:00,,,,,,UnknownCustomer,,Market
cl6zdlg4y0011g4ofpa0nhn0y,COMPLETE,2019-05-27 4:00,,,,,,UnknownCustomer,,Market
cl6zdlg950018g4ofopc4f929,COMPLETE,2019-07-23 4:00,,,,,,UnknownCustomer,,Market
cl6zdlgd70024g4ofc4dlurt6,COMPLETE,2019-02-01 5:00,,,,,,UnknownCustomer,,Market
cl6zdlghb0030g4ofquq9tifx,COMPLETE,2019-04-06 4:00,,,,,,UnknownCustomer,,Market
cl6zdlgm20037g4ofut0mkv9j,COMPLETE,2019-04-27 4:00,,,,,,UnknownCustomer,,Market
cl6zdlgqo0043g4ofykn66yz3,COMPLETE,2019-04-27 4:00,,,,,,UnknownCustomer,,Market
cl6zdlgvy0049g4ofqsxysavc,COMPLETE,2019-06-06 4:00,,,,,,UnknownCustomer,,Market
cl6zdlh020055g4ofvokv5n3o,COMPLETE,2019-07-01 4:00,,,,,,UnknownCustomer,,Market
cl6zdlh4p0062g4of5ejaj30f,COMPLETE,2019-07-14 4:00,,,,,,UnknownCustomer,,Market
cl6zdlh9i0068g4oft0e5v5ey,COMPLETE,2019-07-21 4:00,,,,,,UnknownCustomer,,Market
cl6zdlhe00074g4ofdwfncvqf,COMPLETE,2019-07-22 4:00,,,,,,UnknownCustomer,,Market
cl6zdlhip0080g4ofaayxqdj1,COMPLETE,2019-07-29 4:00,,,,,,UnknownCustomer,,Market
cl6zdlhn30087g4of2lxm466k,COMPLETE,2019-08-10 4:00,,,,,,UnknownCustomer,,Market
cl6zdlhrr0094g4ofubqaj0hn,COMPLETE,2019-08-29 4:00,,,,,,UnknownCustomer,,Market
cl6zdlhvp0100g4ofqp92t1dm,COMPLETE,2019-09-03 4:00,,,,,,UnknownCustomer,,Market
cl6zdlhzv0106g4of7zixsj3z,COMPLETE,2019-08-29 4:00,,,,,,UnknownCustomer,,Market
cl6zdli430112g4oft5ow71hb,COMPLETE,2019-09-29 4:00,,,,,,UnknownCustomer,,Market
